Date,Name,Year,Letterboxd URI,Rating
2018-03-12,Two Weeks Notice,2002,https://boxd.it/26wK,3
2018-03-12,Leap Year,2010,https://boxd.it/1wdC,2.5
2018-03-12,Café Society,2016,https://boxd.it/bhEy,2.5
2018-03-12,Amadeus,1984,https://boxd.it/2aH8,3.5
2018-03-12,Little Miss Sunshine,2006,https://boxd.it/29EW,3
2018-03-12,Zodiac,2007,https://boxd.it/27MO,4
2018-03-12,Jackie Brown,1997,https://boxd.it/2aVO,3.5
2018-03-12,The Conversation,1974,https://boxd.it/2a38,4
2018-03-12,Once Upon a Time in America,1984,https://boxd.it/2aCs,4
2018-03-12,The Girl with the Dragon Tattoo,2009,https://boxd.it/1Mb8,4
2018-03-12,The Girl Who Played with Fire,2009,https://boxd.it/1y0K,3
2018-03-12,La La Land,2016,https://boxd.it/a5fa,5
2018-03-12,Sing Street,2016,https://boxd.it/cOo6,2.5
2018-03-12,Captain Fantastic,2016,https://boxd.it/b2K2,5
2018-03-12,Florence Foster Jenkins,2016,https://boxd.it/abbS,3.5
2018-03-12,Hidden Figures,2016,https://boxd.it/dgS4,4.5
2018-03-12,Hell or High Water,2016,https://boxd.it/bfGM,3.5
2018-03-12,Arrival,2016,https://boxd.it/aNGk,4
2018-03-12,Nocturnal Animals,2016,https://boxd.it/bkFu,4
2018-03-12,The Big Lebowski,1998,https://boxd.it/2b6C,3.5
2018-03-12,The Artist,2011,https://boxd.it/2AwK,4
2018-03-12,Fences,2016,https://boxd.it/dL6A,3.5
2018-03-12,The Lobster,2015,https://boxd.it/7tnw,4
2018-03-12,Elle,2016,https://boxd.it/bdhq,4
2018-03-12,It Boy,2013,https://boxd.it/5kkE,4
2018-03-12,Carnage,2011,https://boxd.it/2peU,4.5
2018-03-12,Hacksaw Ridge,2016,https://boxd.it/azew,3.5
2018-03-12,Moonlight,2016,https://boxd.it/d6bE,2.5
2018-03-12,One Day,2011,https://boxd.it/Asu,3.5
2018-03-12,Lion,2016,https://boxd.it/b2La,4
2018-03-12,Psycho,1960,https://boxd.it/2ab2,5
2018-03-12,Allied,2016,https://boxd.it/cP42,2.5
2018-03-12,Richard Pryor: Live in Concert,1979,https://boxd.it/1zNy,4
2018-03-12,Say Anything...,1989,https://boxd.it/27B2,2.5
2018-03-12,Wonder Woman,2017,https://boxd.it/9roG,5
2018-03-12,Tales of an Immoral Couple,2016,https://boxd.it/duNW,3
2018-03-12,Never Let Me Go,2010,https://boxd.it/Xw0,0.5
2018-03-12,Star Wars,1977,https://boxd.it/72s,4
2018-03-12,The Empire Strikes Back,1980,https://boxd.it/27Vw,4.5
2018-03-12,Return of the Jedi,1983,https://boxd.it/27Vm,4
2018-03-12,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,3
2018-03-12,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,4
2018-03-12,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,4.5
2018-03-12,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,4
2018-03-12,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,4
2018-03-12,Mona Lisa Smile,2003,https://boxd.it/1T0Q,3.5
2018-03-12,Rebecca,1940,https://boxd.it/2aQa,4
2018-03-12,Manderlay,2005,https://boxd.it/27Mu,4.5
2018-03-12,Inherent Vice,2014,https://boxd.it/5hla,2.5
2018-03-12,The Rebound,2009,https://boxd.it/1yhc,3.5
2018-03-12,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,4.5
2018-03-12,Man of Steel,2013,https://boxd.it/FRk,3
2018-03-12,Baby Driver,2017,https://boxd.it/bhF2,0.5
2018-03-12,Split,2016,https://boxd.it/dgSy,3
2018-03-12,Miss Congeniality,2000,https://boxd.it/28GM,3.5
2018-03-12,V for Vendetta,2005,https://boxd.it/29Ik,4.5
2018-03-12,Atomic Blonde,2017,https://boxd.it/blDk,3
2018-03-12,Justice League,2017,https://boxd.it/4w68,3.5
2018-03-12,Thor: Ragnarok,2017,https://boxd.it/8MHi,2
2018-03-12,The Name of the Rose,1986,https://boxd.it/2aUw,4
2018-03-12,There Will Be Blood,2007,https://boxd.it/20Z2,5
2018-03-12,Wonder,2017,https://boxd.it/ekeY,5
2018-03-12,5 to 7,2014,https://boxd.it/7Ho4,5
2018-03-12,"Paris, Texas",1984,https://boxd.it/29Ts,4.5
2018-03-12,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,5
2018-03-12,Lady Bird,2017,https://boxd.it/dGNE,3.5
2018-03-12,The Shape of Water,2017,https://boxd.it/dZ5m,4.5
2018-03-12,Battle of the Sexes,2017,https://boxd.it/cNxw,3.5
2018-03-12,Dunkirk,2017,https://boxd.it/d0Y6,2
2018-03-12,Home Again,2017,https://boxd.it/f9QE,2.5
2018-03-12,Jurassic Park,1993,https://boxd.it/2aA2,3
2018-03-12,Good Bye Lenin!,2003,https://boxd.it/2ayA,3
2018-03-12,The Nice Guys,2016,https://boxd.it/94Hg,2.5
2018-03-12,Playing It Cool,2014,https://boxd.it/8sBE,4
2018-03-12,Christmas Inheritance,2017,https://boxd.it/g1yE,0.5
2018-03-12,Call Me by Your Name,2017,https://boxd.it/dYmm,3.5
2018-03-12,I Give It a Year,2013,https://boxd.it/4KaS,2
2018-03-12,Black Panther,2018,https://boxd.it/8MHs,4
2018-03-12,What Happened to Monday,2017,https://boxd.it/ejUu,3
